,time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,MACD,MACD_Hist,MACD_Signal
26,2021-12-17,332.795,337.11,330.75,333.79,40012637,51.8519,309.4606,331.093,352.7254,0.2911,1.6044,-1.3133
27,2021-12-16,338.98,344.46,333.74,334.9,22635025,52.6961,308.8957,330.8091,352.7225,0.0942,1.8086,-1.7144
28,2021-12-15,332.4935,342.11,323.98,341.66,24681326,58.0401,308.0631,330.3785,352.6938,-0.2716,1.895,-2.1665
29,2021-12-14,328.05,335.7,327.65,333.74,20461024,52.8367,306.7378,329.191,351.6441,-1.4227,1.2176,-2.6403
30,2021-12-13,330.95,341.09,329.59,334.49,22948655,53.4192,305.08,328.7121,352.3442,-2.0649,0.8798,-2.9447
31,2021-12-10,332.555,335.03,326.37,329.75,14527969,50.1971,304.1296,328.1039,352.0782,-2.9309,0.2337,-3.1646
32,2021-12-09,329.54,336.13,328.0,329.82,16879168,50.2447,303.9112,327.9306,351.95,-3.511,-0.2879,-3.2231
33,2021-12-08,325.0,332.75,323.07,330.56,19937722,50.7174,303.6652,327.7318,351.7983,-4.2074,-1.0563,-3.1511
34,2021-12-07,321.57,326.54,321.0,322.81,18794047,45.7543,303.3049,327.434,351.5632,-5.1105,-2.2235,-2.887
35,2021-12-06,308.13,320.1,306.34,317.87,21758340,42.3159,303.9492,327.9208,351.8924,-5.3997,-3.0685,-2.3311
36,2021-12-03,313.73,313.75,299.5,306.84,27471010,33.5881,305.6743,328.9788,352.2832,-5.1873,-3.6233,-1.564
37,2021-12-02,311.4,314.6,307.2,310.39,24396169,35.1788,311.4606,331.3092,351.1577,-3.7177,-3.0595,-0.6582
38,2021-12-01,330.29,330.5,310.29,310.6,30384083,35.2706,317.0407,333.5112,349.9816,-2.1493,-2.256,0.1067
39,2021-11-30,335.0,335.81,323.43,324.46,25390008,41.9812,323.6002,335.9229,348.2456,-0.1377,-0.8084,0.6707
40,2021-11-29,336.89,340.67,335.305,338.03,16650949,50.7617,325.7162,337.1295,348.5428,1.0208,0.148,0.8728
41,2021-11-26,335.795,337.75,331.902,333.12,14750737,47.0401,324.197,337.0347,349.8724,1.1028,0.267,0.8358
42,2021-11-24,336.0,341.78,332.81,341.06,13566181,53.0625,322.0847,337.4468,352.8088,1.6914,0.9224,0.769
43,2021-11-23,338.93,341.3999,333.5,337.25,17224986,50.2229,318.8719,337.0664,355.261,1.6097,1.0712,0.5384
44,2021-11-22,349.05,353.83,340.51,341.01,27116811,53.1706,317.2515,337.0471,356.8428,1.8698,1.5992,0.2706
45,2021-11-19,342.2,352.1,339.9,345.3,26488541,56.696,317.0939,336.63,356.1661,1.7919,1.921,-0.1292
46,2021-11-18,339.72,342.46,335.3,338.69,17487235,52.1575,316.8277,335.7173,354.607,1.2295,1.8389,-0.6094
47,2021-11-17,344.24,347.3,340.1,340.77,13602812,53.8052,316.2209,335.4044,354.5879,1.1668,2.236,-1.0691
48,2021-11-16,343.83,346.65,340.87,342.96,18181106,55.5201,315.6552,334.8396,354.0241,0.8581,2.4862,-1.6281
49,2021-11-15,344.34,353.65,343.2,347.56,25076603,59.2,315.1111,333.9849,352.8586,0.2286,2.4783,-2.2497
50,2021-11-12,330.18,341.86,329.78,340.89,25099642,55.2021,315.0678,332.5559,350.044,-1.0466,1.8226,-2.8693
51,2021-11-11,329.82,332.459,327.0,327.74,12376563,45.4093,314.6374,331.6786,348.7198,-1.9799,1.345,-3.3249
52,2021-11-10,332.49,333.19,325.51,327.64,21872605,45.3249,315.0698,332.0932,349.1166,-1.8033,1.8578,-3.6612
53,2021-11-09,340.0,341.3075,334.47,335.37,17469000,50.9824,315.397,332.562,349.7269,-1.5416,2.584,-4.1256
54,2021-11-08,344.42,344.789,338.34,338.62,18342458,53.5941,315.0941,332.2664,349.4387,-1.9722,2.7995,-4.7716
55,2021-11-05,340.31,346.79,339.64,341.13,26872817,55.6381,314.8964,331.5976,348.2987,-2.8239,2.6476,-5.4715
56,2021-11-04,334.0065,337.273,332.65,335.85,22495281,52.0672,314.8761,330.5942,346.3122,-4.1256,2.0078,-6.1334
57,2021-11-03,327.49,332.15,323.2,331.62,20786502,49.0142,314.714,330.0409,345.3678,-5.1894,1.446,-6.6354
58,2021-11-02,331.38,334.7895,323.8,328.08,28259036,46.3591,314.4221,329.8747,345.3273,-6.041,0.9559,-6.9969
59,2021-11-01,326.04,333.45,326.0,329.98,31164440,47.5943,314.4535,330.0636,345.6738,-6.6796,0.5562,-7.2358
60,2021-10-29,320.19,325.9999,319.6,323.57,37059384,42.8216,314.4653,330.0724,345.6795,-7.5911,-0.2162,-7.3749
61,2021-10-28,312.99,325.52,308.11,316.92,50806840,37.3227,313.9836,330.7569,347.5301,-7.9914,-0.6705,-7.3208
62,2021-10-27,314.19,319.25,312.06,312.22,29971761,33.1003,315.7995,332.2134,348.6273,-7.7089,-0.5557,-7.1532
63,2021-10-26,328.26,330.2099,309.6,315.81,65654043,34.7612,319.5978,334.318,349.0381,-6.7577,0.2565,-7.0142
64,2021-10-25,320.3,329.56,319.72,328.69,38408957,41.7388,322.8913,336.2662,349.641,-5.8109,1.2674,-7.0784
65,2021-10-22,326.345,329.63,321.11,324.61,35224543,38.083,321.0288,337.0637,353.0986,-5.8294,1.5659,-7.3952
66,2021-10-21,340.275,342.31,337.8,341.88,16354423,50.5502,320.9251,338.3746,355.824,-5.3527,2.434,-7.7867
67,2021-10-20,343.445,343.98,339.4531,340.78,13639465,49.5738,320.163,338.0056,355.8481,-6.4248,1.9704,-8.3952
68,2021-10-19,339.645,342.46,337.28,339.99,18786316,48.901,319.6972,337.7135,355.7299,-7.5877,1.3001,-8.8878
69,2021-10-18,328.95,335.89,327.5,335.34,21585018,44.8813,317.1484,337.4739,357.7994,-8.8812,0.3316,-9.2128
70,2021-10-15,328.68,329.07,322.51,324.76,21596370,33.8948,315.7372,337.6985,359.6599,-9.9296,-0.6339,-9.2957
71,2021-10-14,328.355,330.52,327.1,328.53,14302154,36.2881,314.9462,339.0605,363.1748,-10.0461,-0.9088,-9.1373
72,2021-10-13,326.97,327.0,322.66,324.54,14761470,31.5374,312.5598,340.169,367.7782,-10.4325,-1.5224,-8.9101
73,2021-10-12,323.03,324.38,317.37,323.77,31658684,30.6102,312.0578,341.8141,371.5705,-10.3676,-1.8382,-8.5295
74,2021-10-11,327.625,330.46,325.31,325.45,14708224,31.4738,312.3675,343.7135,375.0595,-10.0557,-1.9857,-8.0699
75,2021-10-08,331.51,333.4,328.71,330.05,15946110,33.9058,313.379,345.636,377.893,-9.6823,-2.1088,-7.5735
