,time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,MACD,MACD_Hist,MACD_Signal
49,2021-11-15,3537.0,3593.88,3525.81,3545.68,2929719,59.9606,3289.9049,3444.5268,3599.1486,44.6276,13.2561,31.3715
50,2021-11-12,3485.0,3540.7262,3447.05,3525.15,2636157,58.6208,3288.0464,3433.879,3579.7117,40.9889,12.9315,28.0575
51,2021-11-11,3513.0,3543.24,3467.47,3472.5,2264406,55.0379,3285.4525,3424.2716,3563.0906,37.8388,13.0142,24.8246
52,2021-11-10,3563.87,3605.45,3463.09,3482.05,4027422,55.8525,3272.9373,3419.1949,3565.4524,38.6284,17.0574,21.571
53,2021-11-09,3515.25,3593.77,3501.425,3576.23,4257658,64.6085,3259.8486,3412.5786,3565.3085,38.1021,20.7954,17.3067
54,2021-11-08,3523.24,3579.0,3487.86,3488.98,3073992,59.0915,3250.2732,3395.3521,3540.431,27.2868,15.179,12.1078
55,2021-11-05,3477.0,3566.25,3476.98,3518.99,4996951,62.1876,3236.2843,3385.4965,3534.7087,21.9693,13.6563,8.3131
56,2021-11-04,3370.0,3498.625,3365.0001,3477.0,5353020,59.4255,3233.6161,3371.4446,3509.2731,11.8072,6.9082,4.899
57,2021-11-03,3309.0,3394.92,3297.52,3384.0,3397189,52.2523,3230.7281,3360.3335,3489.9388,2.9402,-0.2318,3.172
58,2021-11-02,3315.01,3331.115,3283.55,3312.75,2562277,45.3831,3223.1048,3357.8423,3492.5798,1.049,-2.181,3.2299
59,2021-11-01,3361.8,3375.86,3292.02,3318.11,3582044,45.8438,3217.5427,3362.5888,3507.635,5.8744,2.0992,3.7752
60,2021-10-29,3300.02,3374.82,3273.32,3372.43,6486077,50.6859,3207.7283,3367.2708,3526.8133,11.4022,8.1518,3.2504
61,2021-10-28,3402.095,3479.0,3386.0,3446.57,5708733,58.5195,3206.4404,3366.7277,3527.0151,12.7611,11.5487,1.2124
62,2021-10-27,3388.0,3437.0,3371.4534,3392.49,2702224,53.6695,3205.7914,3358.3233,3510.8552,6.7611,8.4358,-1.6747
63,2021-10-26,3349.51,3416.12,3343.98,3376.07,2698342,52.0902,3205.2042,3354.7268,3504.2494,4.5109,8.2946,-3.7837
64,2021-10-25,3335.0,3347.7997,3297.7,3320.37,2225956,46.3271,3205.2153,3352.4802,3499.745,3.2451,9.1024,-5.8574
65,2021-10-22,3421.0,3429.84,3331.3,3335.55,3139053,47.7817,3203.5417,3355.8602,3508.1787,7.2535,15.3865,-8.133
66,2021-10-21,3414.25,3440.28,3403.0,3435.01,1881385,59.0641,3199.0467,3357.9981,3516.9495,10.7186,22.6982,-11.9796
67,2021-10-20,3452.66,3462.86,3400.37,3415.06,2139777,57.181,3193.3641,3349.8916,3506.419,4.8586,22.5127,-17.6541
68,2021-10-19,3434.29,3454.69,3422.0,3444.15,2386079,60.9792,3189.8487,3343.0317,3496.2147,-0.6603,22.622,-23.2823
69,2021-10-18,3388.3576,3449.17,3385.1,3446.74,3174115,61.316,3189.2021,3332.3877,3475.5733,-10.6567,18.2811,-28.9378
70,2021-10-15,3311.42,3410.42,3304.0,3409.02,5179941,58.194,3188.5256,3320.3506,3452.1756,-23.5244,9.9837,-33.5081
71,2021-10-14,3302.4541,3312.6,3290.78,3299.86,2112020,46.6169,3169.6892,3311.017,3452.3448,-35.7656,0.2384,-36.004
72,2021-10-13,3269.71,3288.38,3261.0889,3284.28,2425086,44.583,3152.4602,3312.1914,3471.9227,-39.7551,-3.6914,-36.0636
73,2021-10-12,3257.0,3267.528,3236.28,3247.33,1819571,39.5075,3143.8241,3315.1295,3486.4348,-42.6825,-7.5417,-35.1408
74,2021-10-11,3275.0,3292.5899,3238.1,3246.3,2034203,39.3637,3148.8931,3322.2662,3495.6394,-42.036,-8.7806,-33.2553
75,2021-10-08,3317.0,3321.43,3288.2,3288.62,1998217,43.2884,3156.5194,3330.2627,3504.006,-40.4945,-9.4343,-31.0602
76,2021-10-07,3291.54,3325.746,3283.06,3302.43,2409075,44.637,3157.021,3334.6461,3512.2712,-42.2469,-13.5452,-28.7016
77,2021-10-06,3213.53,3264.34,3198.62,3262.01,2532977,39.516,3155.5192,3338.0373,3520.5554,-45.2752,-19.9599,-25.3153
78,2021-10-05,3204.5,3260.73,3202.464,3221.0,3269208,33.7419,3159.6448,3346.0402,3532.4355,-44.3663,-24.041,-20.3253
79,2021-10-04,3279.39,3279.99,3176.25,3189.78,4523057,28.9469,3181.9503,3359.2023,3536.4543,-38.3855,-24.0704,-14.3151
80,2021-10-01,3289.01,3309.1746,3255.94,3283.26,2835617,36.2384,3225.9387,3377.0362,3528.1337,-27.0146,-18.7171,-8.2975
81,2021-09-30,3316.0,3327.85,3273.99,3285.04,2847033,36.4005,3247.423,3386.9074,3526.3918,-21.6262,-18.008,-3.6182
82,2021-09-29,3322.11,3351.3,3297.87,3301.12,2562268,37.8198,3272.0246,3397.6303,3523.236,-14.6154,-15.4992,0.8838
83,2021-09-28,3357.71,3369.19,3290.1001,3315.96,4430819,39.1272,3297.2972,3407.7893,3518.2814,-7.0917,-11.8503,4.7586
84,2021-09-27,3371.5,3415.57,3339.61,3405.8,3634450,48.5646,3322.7425,3417.4555,3512.1685,1.1034,-6.6178,7.7212
85,2021-09-24,3402.01,3429.26,3393.4,3425.52,2116241,51.0756,3316.1184,3418.6824,3521.2464,2.4,-6.9756,9.3756
86,2021-09-23,3380.05,3428.96,3380.05,3416.0,2379414,49.9147,3301.076,3417.9626,3534.8493,2.0122,-9.1074,11.1196
87,2021-09-22,3351.0,3389.0,3341.05,3380.05,2411403,45.3694,3286.3887,3418.1692,3549.9498,2.4572,-10.9392,13.3964
